Nama Pelatihan,Objid Pelatihan,Category,Tipe,Lokasi Pelatihan,Provider,Academy Event,Location,Provider Category,Event Type,Status,Tgl Mulai,Tgl Selesai,JML Peserta,JML Confirmed,JML Peserta Hadir,JML UBPP Inst,JML UBPP Delivery,UBPP Inst,UBPP Akom,UBPP Sarana,UBPP Laborat,UBPP Penyelenggaraan,UBPP Kafetaria,UBPP Materi,Net Promotor Score,Customer Satisfaction,First Response & Average Handling,Customer Effort Score
Final Presentation ALP MDA,80114125,LAT,Virtual Classroom,Bandung,Learning Area 4 Semarang,WS & INTERNATIONAL,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-12-04,2020-12-04,22,21,21,8,12,,0,85.83,0,84.17,0,82.5,33.33,85.28,85.83,82.5
AWS Cloud Practitioner Essentials B-3,80114180,LAT,Virtual Classroom,Bandung,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Public,Close Budget,2020-12-04,2020-12-04,10,10,10,10,10,73.49,0,85,0,83.8,0,88.75,40,82.67,91,86.8
Mentoring Leadership in Teritorry (week-5)),90004512,NON LAT,Project,Bandung,Learning Area 3 / LO Bandung,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,WO,2020-12-04,2020-12-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
test event,90004552,NON LAT,TOT,,,,,,Internal,Draft,2020-12-04,2020-12-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mapping Content AM PR 200.02,90004544,NON LAT,Pengembangan Materi,Jakarta,Learning Area 2 Jakarta,ENTERPRISE,LA 2,Internal,Internal,WO,2020-12-03,2020-12-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Digitalisasi PDAM melalui implementasi smart water Meter serius #4,90004550,NON LAT,Project,Bandung,Learning Area 2 Jakarta,ENTERPRISE,Online (Lokasi Masing-Masing),Internal,Internal,WO,2020-12-03,2020-12-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITIL Foundation,80113993,LAT,Virtual Classroom,Bandung,Learning Area 3 / LO,NITS,Online (Lokasi Masing-Masing),,Public,Close Budget,2020-12-03,2020-12-04,9,9,9,7,7,82.14,72.86,82.86,0,86.29,71.43,85,71.43,80,85.71,84.86
Bispro SOA,80113994,LAT,,Bandung,Learning Area 5 Surabaya,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),Internal,Internal,Close WO,2020-12-02,2020-12-02,33,30,30,16,20,72.81,0,80,0,81.6,0,79.63,20,80.83,83.5,79.9
Bootcamp AM GSD Batch 2,80113996,LAT,,Bandung,Learning Area 3 / LO Bandung,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-12-02,2020-12-09,26,25,25,24,24,90.21,70.42,80,0,88.67,75.42,88.96,70.83,80.83,89.58,88.17
Coaching Business Acumen,80114179,LAT,Coaching,Bandung,Learning Area 2 Jakarta,ENTERPRISE,Online (Lokasi Masing-Masing),Internal,Internal,Close WO,2020-12-02,2020-12-02,43,38,39,2,9,78.57,0,87.5,0,91.11,0,89.17,88.89,90,92.22,88.89
Enhancing communication & collaboration,80114257,LAT,,Bandung,Learning Area 3 / LO,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),,Public,On Going,2020-12-02,2020-12-03,7,1,0,0,1,0,100,100,0,100,100,100,100,100,100,100
Kickoff Digital Academy: Program Digital Mindset & Innovation Pathway,90004542,NON LAT,Project,Bandung,Learning Area 3 / LO Bandung,KMCS,LA 3,Internal,Public,Close WO,2020-12-02,2020-12-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pembuatan IGL Pelatihan AKHLAK,90004546,NON LAT,Pengembangan Materi,Bandung,Learning Area 3 / LO Bandung,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),Internal,Internal,WO,2020-12-02,2020-12-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Persiapan Kelas Data Center & Cloud Computing,90004540,NON LAT,Pengembangan Materi,Bandung,Learning Area 3 / LO Bandung,NITS,Online (Lokasi Masing-Masing),Internal,Internal,WO,2020-12-01,2020-12-01,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPMP V Batch 36,80113788,LAT,,Bandung,Learning Area 1 Medan,LEADERSHIP,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-12-01,2020-12-10,26,26,26,25,26,78.19,0,88.8,0,89.62,0,89.14,61.54,88.7,93.08,89
OC Trusted Advisor Webinar Series 19,80113790,LAT,Online Forum,Bandung,Learning Area 2 Jakarta,ENTERPRISE,Online (Lokasi Masing-Masing),Internal,Internal,Close WO,2020-12-01,2020-12-01,178,63,58,5,11,80.07,0,88.18,0,89.45,0,89.07,72.73,89.09,89.09,89.07
"TRShoot GGN HSI:ONT,OLT,Metro,BRAS,PE SP",80113990,LAT,,Bandung,Learning Area 2 Jakarta,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-12-01,2020-12-03,44,3,44,30,30,,0,92.67,0,93.4,0,92.75,86.67,93.56,93.33,92.47
Apple & Orange - Business Simulation B3,80113995,LAT,,Bandung,Learning Area 1 Medan,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-12-01,2020-12-04,11,8,8,8,8,77.96,0,88.75,0,89.75,0,91.88,62.5,89.58,91.25,91
Mentoring CBHC Batch 3,80114034,LAT,,Bandung,Learning Area 3 Bandung,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),Internal,Internal,On Going,2020-12-01,2020-12-10,26,22,21,1,1,,0,90,0,86,0,87.5,100,86.67,80,88
Exam AWS Cloud Practitioner Essentials 1,80114054,LAT,Test Online,Bandung,Learning Area 3 Bandung,DSP,Telkom Corporate University,Internal,Public,Close WO,2020-12-01,2020-12-01,1,1,1,0,1,0,100,100,0,100,100,100,100,100,100,100
Management Project,80114090,LAT,,Bandung,Learning Area 2 Jakarta,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-12-01,2020-12-11,20,20,20,19,19,75.38,0,84.21,0,85.79,0,84.74,63.16,84.21,88.42,84.84
GOOGLE LANGUAGE,80114097,LAT,,Bandung,Learning Area 2 Jakarta,CONSUMER,Online (Lokasi Masing-Masing),Internal,Public,Close Budget,2020-12-01,2020-12-04,5,5,5,3,3,68.1,0,76.67,0,73.33,0,75.83,-33.33,73.33,80,76
Perform Using OKR,80114098,LAT,Virtual Classroom,Bandung,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Internal,On Going,2020-12-01,2020-12-01,14,13,13,6,5,72.38,0,83.33,0,82.5,0,81.5,50,83.89,78,80.8
Business Law,80114099,LAT,Virtual Classroom,Bandung,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Public,Close Budget,2020-12-01,2020-12-04,5,5,5,5,5,77.14,0,86,0,90.4,0,89.5,80,89.33,92,88.8
Cisco ENCOR,80113992,LAT,Online Forum,Bandung,Learning Area 3 / LO,NITS,Online (Lokasi Masing-Masing),,Public,Close Budget,2020-11-30,2020-12-04,7,7,7,5,5,,0,68,0,64.8,0,76.5,0,65.33,62,73.2
LDP for Rookie Batch 7,80114012,LAT,,Bandung,Learning Area 7 Makassar,LEADERSHIP,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-11-30,2020-12-11,30,30,30,29,30,74.59,0,86.33,0,86.73,0,87.27,56.67,86.56,90.33,86.26
OLT 702010 Batch 1 Modul 5 & 6 Batch 2,80114015,LAT,,Bandung,Learning Area 3 Bandung,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-11-30,2020-11-30,12,12,12,4,4,67.86,0,80,0,84,0,80,50,81.67,87.5,80.5
AWS Cert Solut Architect Assoc B3 2020,80114029,LAT,Virtual Classroom,Bandung,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Public,Close Budget,2020-11-30,2020-12-04,11,11,11,11,11,77.14,0,92.73,0,91.09,0,91.59,81.82,92.12,90.91,90.91
LDP for Rookie Batch 8,80114059,LAT,,Bandung,Learning Area 7 Makassar,LEADERSHIP,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-11-30,2020-12-11,30,30,30,30,30,71.54,0,81,0,82.15,0,84.5,40,81.56,83.79,83.47
Operation Maintenance CME,80114095,LAT,,Bandung,Learning Area 2 Jakarta,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-11-30,2020-12-02,47,8,46,29,29,,0,91.03,0,93.1,0,93.74,86.21,92.3,96.21,92.92
Startups Valuation and Fund Raising,80114101,LAT,Virtual Classroom,Bandung,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Public,Close Budget,2020-11-30,2020-12-04,9,9,9,9,9,77.26,0,86.67,0,88.89,0,90,55.56,87.04,90,90
ALP Marketing Data Analytics Batch 1,80114102,LAT,Virtual Classroom,Bandung,Learning Area 4 Semarang,WS & INTERNATIONAL,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-11-30,2020-11-30,22,20,20,7,8,,0,87.5,0,85.13,0,83.13,37.5,86.09,88.75,82.75
Pembuatan Laporan LIM-4 week-5,90004502,NON LAT,Project,Bandung,Dalam Negeri,LEADERSHIP,Online (Lokasi Masing-Masing),Internal,Internal,WO,2020-11-30,2020-11-30,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exam AWS Developer Assoc 4,80113946,LAT,Test Online,Bandung,Learning Area 3 / LO Bandung,DSP,Online (Lokasi Masing-Masing),Internal,Public,WO,2020-11-29,2020-11-29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Professional Public Speaking,80114013,LAT,Virtual Classroom,Bandung,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Public,On Going,2020-11-28,2021-01-09,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Leadership for Site Manager TA,80113988,LAT,Virtual Classroom,Bandung,Learning Area 3 / LO,NITS,Online (Lokasi Masing-Masing),,Internal,Close WO,2020-11-27,2020-12-11,50,33,50,43,42,,0,0,0,0,0,0,0,0,0,0
Leadership for Site Manager TA,80113989,LAT,Virtual Classroom,Bandung,Learning Area 3 / LO,NITS,Online (Lokasi Masing-Masing),,Internal,Close Budget,2020-11-27,2020-12-11,50,26,50,33,32,,0,0,0,0,0,0,0,0,0,0
Coaching Achievement Orientation Finnet,80114074,LAT,,,,,Online (Lokasi Masing-Masing),,,,2020-11-27,2020-12-14,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sertifikasi Cognitium Coba Coba,80114094,LAT,,Bandung,Learning Area 3 / LO,BUSINNESS ENABLER,Learning Area 3 Bandung,,Internal,Draft,2020-11-27,2020-11-27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mentoring Leadership in Teritorry (week-4),90004494,NON LAT,Project,Bandung,Learning Area 3 / LO Bandung,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,WO,2020-11-27,2020-11-27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mapping Content AM CFUE,90004532,NON LAT,Pengembangan Materi,Jakarta,Learning Area 3 / LO,ENTERPRISE,LA 2,External,Internal,WO,2020-11-26,2020-11-26,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sidang Komite Amoeba (SKA) Batch 15,80113980,LAT,Mentoring,Bandung,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-11-26,2020-11-26,92,75,75,40,41,79.97,0,92.2,0,94.29,0,92.64,92.68,93.61,93.66,92.86
Living the Grand Why Batch 10,80113983,LAT,,Bandung,Learning Area 2 Jakarta,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-11-26,2020-11-26,115,0,103,46,46,,0,88.7,0,88.04,0,88.37,54.35,89.06,88.04,87.74
Living the Grand Why Batch 11,80114017,LAT,,Bandung,Learning Area 2 Jakarta,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-11-26,2020-11-26,122,0,107,51,51,,0,88.23,0,87.96,0,87.89,49.02,88.3,89.22,87.84
Smart Secretary,80114023,LAT,,Bandung,Learning Area 3 / LO,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),,Public,On Going,2020-11-26,2020-11-26,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Digital Marketing AMA Batch 2,80114065,LAT,Virtual Classroom,Bandung,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-11-26,2020-11-27,1,1,1,1,1,81.43,0,100,0,98,0,100,100,100,100,98
Sidang Komite Amoeba for AM Batch 2,80114100,LAT,Coaching,Bandung,Learning Area 2 Jakarta,ENTERPRISE,Online (Lokasi Masing-Masing),Internal,Internal,Close WO,2020-11-26,2020-11-26,56,33,40,10,11,79.8,0,93.64,0,93.64,0,92.73,81.82,93.64,93.64,92.91
Coaching Business Acumen Batch 2,80113986,LAT,,,,,Online (Lokasi Masing-Masing),,,,2020-11-25,2020-11-25,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sustainability Report dasar GRI Report,80114011,LAT,,Bandung,Learning Area 3 Bandung,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-11-25,2020-11-27,25,20,20,12,13,71.55,0,82.31,0,84.62,0,82.89,38.46,84.62,85.39,82.77
Data Scientist,80114016,LAT,Online Forum,Bandung,Learning Area 3 / LO,NITS,Online (Lokasi Masing-Masing),,Public,Close Budget,2020-11-25,2020-11-26,13,13,13,9,9,76.67,0,90,0,88,0,87.22,66.67,89.26,88.89,86.44
Pengetahuan Perpajakan di Indonesia B-1,80114027,LAT,Virtual Classroom,Bandung,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Public,Close Budget,2020-11-25,2020-11-26,2,2,2,1,2,70,0,75,0,77.78,0,77.14,0,80,85,75.56
CFA Lvl 1: Complete Financial Reporting,80114028,LAT,E-learning,Bandung,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Public,On Going,2020-11-25,2020-12-11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leadership in Territory STO Batch 9,80114051,LAT,,Bandung,Learning Area 5 Surabaya,CONSUMER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-11-25,2020-12-01,20,20,20,8,14,75.38,0,87.86,0,89.41,0,88.04,78.57,87.86,90,88.14
Exam AWS Solution Architect Assoc 12,80114055,LAT,Test Online,Bandung,Learning Area 3 Bandung,DSP,Telkom Corporate University,Internal,Public,Close Budget,2020-11-25,2020-11-25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bandung - Moving Beyond Performance REG3,80114069,LAT,,Bandung,Learning Area 5 Surabaya,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),Internal,Internal,On Going,2020-11-25,2020-12-16,9,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
ALP AM DEV TELIN BATCH 2,80114088,LAT,Virtual Classroom,Bandung,Learning Area 2 Jakarta,WS & INTERNATIONAL,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-11-25,2020-11-25,15,14,14,6,6,80.24,0,96.67,0,94,0,94.35,100,94.44,96.67,93.45
ALP Account Team Dev Telin,90004528,NON LAT,Job Assignment,Bandung,,,Online (Lokasi Masing-Masing),,Internal,Draft,2020-11-25,2020-11-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pembuatan Laporan LIM-4 week-4,90004500,NON LAT,Project,Bandung,Dalam Negeri,LEADERSHIP,Online (Lokasi Masing-Masing),Internal,Internal,WO,2020-11-24,2020-11-24,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panel Speaker & Expert Insight Webinar Trusted Advisor Series 18,90004530,NON LAT,Project,Jakarta,Provider External 2,,LA 2,External,Internal,Draft,2020-11-24,2020-11-24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BUMN Innovation Training,90004538,NON LAT,Sharing Session,Bandung,Learning Area 3 / LO,DSP,Online (Lokasi Masing-Masing),External,Public,On Going,2020-11-24,2020-11-25,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
Certified Risk Professional (CRP),80113979,LAT,Virtual Classroom,Bandung,Learning Area 7 Makassar,DSP,Online (Lokasi Masing-Masing),Internal,Public,Close Budget,2020-11-24,2020-11-30,20,20,20,20,20,70.77,0,84,0,85.76,0,87,50,85.93,85,86.6
Living the Grand Why Batch 8,80113981,LAT,,Bandung,Learning Area 2 Jakarta,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),,Internal,Close Budget,2020-11-24,2020-11-24,71,7,63,38,39,87.94,90,90,0,90,90,90,100,90,90,90
Living the Grand Why Batch 9,80113982,LAT,,Bandung,Learning Area 2 Jakarta,BUSINNESS ENABLER,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-11-24,2020-11-24,71,5,65,42,43,91.18,0,90,0,90.7,0,91.16,60.47,91.16,90.47,90.84
Marketing Data Analytics Batch 2,80113984,LAT,Virtual Classroom,Bandung,Learning Area 4 Semarang,WS & INTERNATIONAL,Online (Lokasi Masing-Masing),Internal,Internal,Close Budget,2020-11-24,2020-11-26,21,21,21,11,9,74.85,0,95.56,0,96,0,91.94,88.89,95.93,95.56,92.67
