Bulan,Course,Category,Jumlah Partisipan,Kecepatan pelayanan,Kemudahan fungsi fungsi untuk digunakan,Kemudahan nama situs untuk diingat,Kemudahan situs untuk dipahami,Kemudahan untuk dihubungi,Kemudahan untuk dipahami,Kenyamanan dalam mempelajari materi,Keramahan petugas,Manfaat terhadap tugas,Pengetahuan terhadap situs,Sistematika Penulisan,Tampilan situs,Final Score
1,CX Transformation Program Behavior Skill Technician Assurance,Digital & ICT (EL-DIC),57,91.95,92.27,91.98,92.23,91.95,92.35,91.95,91.98,92.35,92.39,92.15,91.98,92.13
1,CX Transformation Program Behavior Skill Technician Fulfillment,Digital & ICT (EL-DIC),60,91.37,92.13,92.32,92.44,92.21,92.21,92.51,92.13,92.70,91.54,92.13,92.70,92.2
1,CYBER SECURITY 2,Digital & ICT (EL-DIC),8,96.67,96.67,96.67,96.67,96.67,96.57,96.67,96.67,96.67,96.67,96.67,96.67,96.66
1,Data Analytics,Digital & ICT (EL-DIC),162,91.99,92.05,92.29,92.24,91.99,92.17,92.07,92.02,92.31,92.17,92.35,92.19,92.15
1,Design Thinking,Digital & ICT (EL-DIC),206,91.65,92.46,92.35,92.28,91.70,92.56,92.97,91.92,92.87,91.82,92.78,91.88,92.27
1,Design Thinking (E-Learning),Digital & ICT (EL-DIC),2,100.00,95.56,95.56,95.56,100.00,95.56,100.00,95.56,95.56,100.00,95.56,95.56,97.04
1,DigiERP,Digital & ICT (EL-DIC),50,90.85,91.13,90.99,90.89,91.23,91.37,91.47,90.75,91.37,90.99,91.13,91.16,91.11
1,Fintech (Financial Technology),Digital & ICT (EL-DIC),10,95.00,95.00,95.00,95.00,95.00,94.42,95.00,95.00,95.00,95.00,95.00,95.00,94.95
1,Grounding System,Digital & ICT (EL-DIC),1,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100
1,How To Be A Great Follower,Digital & ICT (EL-DIC),1,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90
1,HTML & CSS,Digital & ICT (EL-DIC),153,92.08,92.08,92.13,92.05,91.95,92.23,92.01,92.12,92.22,92.09,92.06,91.86,92.07
1,Instalasi & Setting Wifi ONT,Digital & ICT (EL-DIC),1,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90
1,Internet of Things (IoT),Digital & ICT (EL-DIC),6,92.80,92.80,94.62,94.62,94.62,95.00,95.00,92.80,91.67,92.80,91.82,92.80,93.45
1,Introduction to UI-UX,Digital & ICT (EL-DIC),1,80.00,80.00,80.00,80.00,80.00,90.00,90.00,80.00,90.00,80.00,90.00,80.00,83.33
1,MACHINE LEARNING 2,Digital & ICT (EL-DIC),5,97.39,97.39,100.00,97.39,97.39,97.39,97.27,97.39,97.27,97.39,97.39,97.39,97.59
1,Mengatasi Pelanggan yang Sulit,Digital & ICT (EL-DIC),1,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90
1,NG-PON2,Digital & ICT (EL-DIC),2,90.00,95.56,90.00,95.56,90.00,90.00,90.00,90.00,90.00,90.00,90.00,95.56,91.39
1,Overview OSP FTTH,Digital & ICT (EL-DIC),3,93.85,97.14,97.14,97.14,93.85,93.85,93.85,93.85,97.14,93.85,93.85,97.14,95.22
1,Pengantar IOAN,Digital & ICT (EL-DIC),2,85.71,83.33,83.33,83.33,85.71,83.33,83.33,85.71,85.71,85.71,83.33,83.33,84.32
1,Product Knowledge Indihome,Digital & ICT (EL-DIC),26,93.69,93.15,92.78,93.45,92.88,93.03,94.05,93.03,94.74,93.45,92.78,93.03,93.34
1,Produk DigiConnect,Digital & ICT (EL-DIC),1,90.00,90.00,80.00,90.00,90.00,100.00,90.00,90.00,90.00,90.00,90.00,70.00,88.33
1,Produk IT Tools Support for IOAN,Digital & ICT (EL-DIC),1,90.00,90.00,100.00,100.00,90.00,90.00,100.00,90.00,100.00,90.00,90.00,90.00,93.33
1,Produk Metro Ethernet,Digital & ICT (EL-DIC),1,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,80.00,90.00,89.17
1,Produk SIP Trunking,Digital & ICT (EL-DIC),1,90.00,80.00,80.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,80.00,87.5
1,PT - 2 Project,Digital & ICT (EL-DIC),112,94.44,94.57,95.08,94.89,94.35,94.34,94.94,94.36,95.17,94.84,94.67,95.09,94.73
1,Quick Guide Instalasi PT-2,Digital & ICT (EL-DIC),7,90.00,93.33,90.00,90.00,91.72,91.72,93.33,91.72,91.72,90.00,90.00,91.72,91.27
1,Revenue Models,Digital & ICT (EL-DIC),147,92.15,92.09,92.35,92.24,92.14,92.14,92.27,92.28,92.27,92.28,92.34,92.11,92.22
1,SIIS 3.0 - Modul 1 - SIIS,Digital & ICT (EL-DIC),4,95.56,95.56,95.56,95.56,95.56,93.75,93.75,95.56,94.12,95.56,94.12,94.12,94.9
1,SIIS 3.0 - Modul 2 - Menu SIIS,Digital & ICT (EL-DIC),7,97.58,97.58,97.58,97.58,97.58,97.58,97.58,97.58,97.58,97.58,97.58,97.58,97.58
1,SIIS 3.0 - Modul 3 - Menu Layer List dan Assurance,Digital & ICT (EL-DIC),8,97.89,97.89,97.89,97.89,97.89,97.30,97.22,97.89,98.42,97.89,97.30,97.89,97.78
1,SIIS 3.0 - Modul 4 - Tips and Trick,Digital & ICT (EL-DIC),7,97.58,97.58,97.58,98.82,97.58,96.88,97.58,97.58,97.58,97.58,97.58,98.82,97.73
1,SIIS 3.0 - Modul 5 - Menu Help Desk,Digital & ICT (EL-DIC),6,98.62,98.62,100.00,100.00,98.62,98.62,98.62,98.62,100.00,98.62,98.62,98.62,98.97
1,Software Defined Networking,Digital & ICT (EL-DIC),8,97.30,97.30,97.30,97.30,97.30,97.71,97.71,97.30,97.71,97.30,97.71,97.30,97.44
1,Teknologi GPON,Digital & ICT (EL-DIC),1,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90
1,Teknologi WiFi,Digital & ICT (EL-DIC),12,93.73,92.44,92.65,93.20,93.73,93.60,95.47,93.73,94.12,93.20,94.62,93.47,93.66
1,Telkom VPN IP Bisnis for AM,Digital & ICT (EL-DIC),11,92.00,93.04,92.61,90.91,92.00,90.95,90.23,93.62,90.95,92.00,90.24,91.36,91.66
1,Transmisi Serat Optik 2,Digital & ICT (EL-DIC),1,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90
1,UI UX,Digital & ICT (EL-DIC),139,91.70,92.02,92.36,92.20,91.79,91.29,91.45,91.85,91.77,91.76,91.53,91.76,91.79
1,UX Process,Digital & ICT (EL-DIC),2,90.00,90.00,90.00,90.00,90.00,100.00,95.56,90.00,100.00,90.00,95.56,95.56,93.06
1,"5R (Ringkas, Rapi, Resik, Rawat, Rajin)",General (EL-GNR),1,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80
1,Account Management (APC),General (EL-GNR),1,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90
1,Account Profile,General (EL-GNR),1,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90
1,Analisa Kelayakan Investasi,General (EL-GNR),1,90.00,90.00,90.00,90.00,90.00,100.00,90.00,90.00,90.00,90.00,90.00,90.00,90.83
1,Basic Budgeting,General (EL-GNR),1,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100
1,Basic Leadership (Bilingual),General (EL-GNR),17,93.04,93.71,94.08,93.02,93.71,94.00,92.31,94.08,94.72,93.80,94.00,93.62,93.67
1,Basic Performance Management,General (EL-GNR),1,90.00,90.00,90.00,90.00,90.00,0,90.00,90.00,90.00,90.00,90.00,90.00,82.5
1,Bekerja Dalam Tim,General (EL-GNR),92,92.82,93.03,92.75,92.99,92.75,93.35,92.99,92.71,93.54,92.67,93.21,92.83,92.97
1,Brand Management,General (EL-GNR),2,70.00,70.00,70.00,0,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,64.17
1,Business English 1,General (EL-GNR),1,0,70.00,90.00,80.00,0,70.00,70.00,0,80.00,0,80.00,80.00,51.67
1,Creative Thinking,General (EL-GNR),2,80.00,85.71,90.00,85.71,80.00,85.71,90.00,80.00,90.00,80.00,85.71,80.00,84.4
1,Effective Communication,General (EL-GNR),1,80.00,80.00,80.00,80.00,80.00,90.00,90.00,80.00,90.00,80.00,90.00,80.00,83.33
1,Emotional Intelligence Development,General (EL-GNR),4,89.33,91.25,91.25,92.94,91.25,91.25,91.25,89.33,92.94,91.25,91.25,87.14,90.87
1,Enterprise Risk Management,General (EL-GNR),1,80.00,80.00,80.00,80.00,80.00,70.00,70.00,80.00,80.00,80.00,80.00,80.00,78.33
1,Etika Menulis,General (EL-GNR),2,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90
1,Finon,General (EL-GNR),2,95.56,95.56,95.56,95.56,95.56,90.00,90.00,95.56,90.00,95.56,95.56,95.56,94.17
1,Foundation of Performance Management,General (EL-GNR),1,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90
1,Leadership of Change,General (EL-GNR),6,95.56,95.56,95.56,95.56,95.56,95.56,95.56,95.56,95.56,95.56,95.56,95.56,95.56
1,Marketing Research,General (EL-GNR),2,90.00,90.00,85.71,90.00,90.00,90.00,90.00,90.00,85.71,90.00,90.00,90.00,89.29
1,Mengenal Karakter Pribadi Melalui Metode DISC,General (EL-GNR),3,84.00,84.00,87.27,84.00,84.00,84.00,74.29,84.00,84.00,84.00,77.50,80.00,82.59
1,OM Kabel Serat Optik,General (EL-GNR),9,93.89,93.89,93.89,93.75,93.89,94.59,93.89,93.89,93.89,93.89,93.89,94.59,94
1,Pengendalian Internal,General (EL-GNR),2,90.00,85.71,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,89.64
1,"Performance Control, Tools & Format",General (EL-GNR),1,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90
1,Sales Management (APC),General (EL-GNR),1,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90
1,Sarbanes Oxley Act,General (EL-GNR),1,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60
1,Security Awareness,General (EL-GNR),1,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90
1,Six Sigma Lanjut,General (EL-GNR),1,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90
1,TCP/IP  Overview,General (EL-GNR),7,87.00,91.54,91.54,91.54,87.00,89.60,89.60,87.00,90.40,87.00,89.60,89.60,89.29
1,TCP/IP BAG 1,General (EL-GNR),2,90.00,90.00,90.00,90.00,90.00,90.00,85.71,90.00,90.00,90.00,90.00,90.00,89.64
1,Time Solution For Banking Business,General (EL-GNR),1,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100
1,Trade Marketing,General (EL-GNR),1,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90
1,VIP (Very Intensive Program) - Seri Program Hidup Sehat,General (EL-GNR),1,90.00,90.00,90.00,90.00,90.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,84.17
1,Virtual Private Network (VPN),General (EL-GNR),1,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,90.00,99.17
1,Dasar - Dasar Six Sigma,Strategic Plan & Development (EL-SPD),1,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100
1,5 - LVC - KURSILMAT,Top & New Courses,3,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100
1,Awareness ISO/IEC 20000-1:2011 Divisi IT,Top & New Courses,6,96.30,96.30,96.30,96.30,96.30,95.38,95.38,96.30,97.86,96.30,95.38,96.30,96.2
1,CFU Transformation,Top & New Courses,2,90.00,90.00,90.00,0,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,82.5
1,Contoh Perilaku The Telkom Way,Top & New Courses,8,91.88,91.88,91.88,91.88,90.97,91.25,91.33,90.67,91.88,91.88,90.97,91.61,91.51
1,Customer Approach 360 Degree,Top & New Courses,7,89.63,86.96,88.46,90.77,89.63,93.79,90.40,90.71,89.63,89.63,90.37,84.35,89.53
1,Dasar - Dasar K3,Top & New Courses,18,92.89,91.89,91.11,91.11,92.00,91.89,91.51,91.51,92.89,91.89,91.23,92.53,91.87
1,Diarium - New Digital Paradigm for Strengthening The Telkom Way,Top & New Courses,10,94.55,94.55,94.55,0,94.55,94.55,94.55,94.55,94.55,94.55,94.55,92.38,86.49
1,Etika & Kepatuhan Karyawan (EKK) 2018,Top & New Courses,4,85.71,95.56,90.00,0,85.71,91.25,85.71,85.71,95.56,85.71,90.00,85.71,81.39
1,Industry Value Chain Analisis (IVCA) Part-1,Top & New Courses,6,87.27,83.16,85.71,85.00,85.71,87.27,84.21,87.27,92.00,87.27,85.00,80.00,85.82
1,Industry Value Chain Analisis (IVCA) Part-2,Top & New Courses,6,84.00,83.16,84.00,83.16,84.00,85.71,83.33,84.71,92.80,84.00,83.16,81.18,84.43
1,Industry Value Chain Analisis (IVCA) Part-3,Top & New Courses,8,84.44,80.00,84.44,82.50,84.44,85.38,82.00,85.71,87.14,85.71,83.85,80.83,83.87
1,Interpersonal Communication Skill,Top & New Courses,17,93.24,93.82,93.24,93.24,94.20,94.78,93.43,93.97,94.79,93.61,94.37,92.35,93.75
1,Kawal Provisioning (KPRO),Top & New Courses,21,95.06,94.84,94.84,94.84,95.32,95.32,94.57,95.32,94.84,94.84,94.57,94.84,94.93
1,LVC - Learning Delivery & Deployment (LDE),Top & New Courses,3,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100
1,LVC - Learning Impact Measurement (LIM),Top & New Courses,6,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100
1,LVC - Learning Need Diagnostic (LND),Top & New Courses,1,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100
1,Mengenal Cisco Router,Top & New Courses,6,91.67,91.67,92.80,91.67,90.43,92.80,91.67,91.67,92.80,92.80,93.85,91.67,92.13
1,Overview New Customer Relationship Management (CRM),Top & New Courses,2,90.00,85.71,85.71,85.71,90.00,85.71,83.33,85.71,85.71,85.71,83.33,85.71,86.03
1,Quick Guide Instalasi PT-1,Top & New Courses,10,93.33,94.63,94.00,95.71,94.00,95.00,95.14,93.33,93.85,94.00,93.85,94.00,94.24
1,Sales Indihome Information System (SIIS),Top & New Courses,5,96.52,96.52,96.52,95.45,96.52,96.52,95.56,96.52,98.33,96.52,96.52,95.45,96.41
1,Standar Etika Pelayanan Jarakses,Top & New Courses,7,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100
1,Teknisi IndiHome 3P,Top & New Courses,12,96.73,97.25,96.73,96.73,96.73,97.50,97.50,96.73,97.50,96.73,97.50,96.73,97.03
1,The Telkom Way - Do's and Don'ts,Top & New Courses,24,95.51,96.76,95.96,96.36,96.30,95.93,97.01,95.73,96.36,95.93,96.15,96.55,96.21
2,Alur Dan Proses Verifikasi Klaim,ADMEDIKA,2,70.00,70.00,70.00,0,70.00,70.00,70.00,70.00,70.00,70.00,70.00,70.00,64.17
2,Basic Contact Center Knowledge (Admedika),ADMEDIKA,3,93.85,93.85,93.85,93.85,93.85,93.85,93.85,93.85,93.85,93.85,93.85,93.85,93.85
2,Fraud Klaim Asuransi,ADMEDIKA,1,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90
2,Pemeriksaan Laboratorium,ADMEDIKA,1,90.00,90.00,90.00,90.00,90.00,80.00,90.00,90.00,90.00,90.00,90.00,90.00,89.17
2,Pemeriksaan Test Diagnostik,ADMEDIKA,1,80.00,100.00,100.00,100.00,80.00,100.00,90.00,80.00,70.00,80.00,90.00,100.00,89.17
2,Basic Management Inventory,Business Enabler / Enterprise Management (EL-EEM),1,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,80.00,89.17
2,Paradigma Spiritual,Business Enabler / Enterprise Management (EL-EEM),1,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90
2,Pengantar Pengadaan Barang dan Jasa,Business Enabler / Enterprise Management (EL-EEM),1,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80.00,80
2,PMBOK,Business Enabler / Enterprise Management (EL-EEM),4,92.94,92.94,97.14,97.14,92.94,95.56,94.12,93.85,95.56,95.56,95.56,92.94,94.69
2,Project Management (PM) Risk Management,Business Enabler / Enterprise Management (EL-EEM),1,80.00,70.00,0,80.00,80.00,70.00,70.00,80.00,80.00,80.00,70.00,70.00,69.17
2,Sistem Manajemen Performansi,Business Enabler / Enterprise Management (EL-EEM),2,90.00,90.00,95.56,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,95.56,90.93
2,Spiritual (Hindu) Membangun Motivasi Kerja menuju Hidup Berkesadaran,Business Enabler / Enterprise Management (EL-EEM),1,90.00,90.00,90.00,90.00,90.00,100.00,100.00,90.00,100.00,90.00,100.00,90.00,93.33
2,Spiritual (Islam) Bekerja Billah,Business Enabler / Enterprise Management (EL-EEM),3,93.85,95.56,93.85,91.67,93.85,91.67,93.85,93.85,93.85,93.85,93.85,91.67,93.45
2,Spiritual (Islam) Bekerja Dengan Rasa Cinta dan Syukur,Business Enabler / Enterprise Management (EL-EEM),12,94.42,95.00,95.00,95.00,95.00,95.00,94.42,95.00,94.62,94.04,93.73,95.00,94.69
2,Spiritual (Islam) Bekerja Ma allah,Business Enabler / Enterprise Management (EL-EEM),1,0,0,0,0,0,0,0,0,90.00,0,90.00,0,15
2,Spiritual (Kristen) Membangun Spiritualitas Kerja,Business Enabler / Enterprise Management (EL-EEM),8,92.12,94.29,93.33,94.29,92.12,94.29,94.29,92.12,95.56,92.12,94.29,94.29,93.59
2,Assessment Cisco,CLASSICAL SUPPORT,1,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90
2,Company Profile PT Dayamitra Telekomunikasi,CLASSICAL SUPPORT,139,91.29,92.94,91.75,93.07,91.60,93.86,93.51,91.52,93.78,91.90,93.14,92.92,92.61
2,Product Knowledge PT Dayamitra Telekomunikasi,CLASSICAL SUPPORT,132,92.31,92.62,91.88,92.78,92.65,93.67,92.82,92.08,93.87,92.50,93.05,92.34,92.71
2,Regulasi Menara,CLASSICAL SUPPORT,118,92.05,92.18,91.73,92.43,92.14,92.38,92.64,91.77,92.89,92.22,92.43,92.38,92.27
2,9 Core Element of Marketing,Commerce & Relations (EL-COR),1,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90
2,Competitor & Competitive Intellegence (APC),Commerce & Relations (EL-COR),9,99.09,99.09,99.09,99.09,99.09,99.09,99.09,99.09,99.09,99.09,99.09,99.09,99.09
2,Competitor Intelligence - TCIMF,Commerce & Relations (EL-COR),14,93.09,93.33,93.33,93.33,93.93,92.94,92.94,92.59,91.64,93.93,92.73,92.83,93.05
2,Consultative Selling,Commerce & Relations (EL-COR),30,93.88,93.66,93.39,93.88,93.50,93.71,93.22,93.67,93.75,93.88,92.80,93.50,93.57
2,CX Transformation Program Behavior Skill Sales Agent,Commerce & Relations (EL-COR),4,100.00,97.89,100.00,100.00,100.00,100.00,97.89,100.00,100.00,97.89,97.89,97.89,99.12
2,CX Transformation Program Communication Skill Sales Agent,Commerce & Relations (EL-COR),39,92.56,92.56,92.56,92.27,92.56,92.39,92.56,92.56,92.68,92.56,92.68,92.56,92.54
2,CX Transformation Program Communication Skill Technician Assurance,Commerce & Relations (EL-COR),51,92.08,92.31,92.25,92.49,91.84,92.72,92.67,92.31,93.06,92.16,92.62,92.31,92.4
2,CX Transformation Program Communication Skill Technician Fulfillment,Commerce & Relations (EL-COR),46,92.50,92.00,92.00,92.15,92.40,92.40,92.00,92.25,92.89,92.40,92.40,92.50,92.32
2,Dasar Komunikasi,Commerce & Relations (EL-COR),2,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90.00,90
2,Product Knowledge HBO GO,Commerce & Relations (EL-COR),10,97.87,96.96,96.96,96.96,97.87,97.87,97.87,96.44,97.87,97.87,97.87,97.87,97.52
2,Product Knowledge In House Channel,Commerce & Relations (EL-COR),81,96.54,96.60,96.49,96.66,96.30,92.08,91.86,96.19,92.79,96.72,91.94,96.30,95.04
2,Product Knowledge Minipack Indihome,Commerce & Relations (EL-COR),36,92.93,93.59,94.06,94.36,92.30,93.90,94.94,92.43,94.78,92.30,94.29,93.77,93.64
2,Product Knowledge OTT Catchplay,Commerce & Relations (EL-COR),39,93.86,94.82,94.82,94.29,93.98,92.88,93.45,93.86,93.58,94.13,93.29,94.56,93.96
2,Product Knowledge OTT HOOQ IndiHome,Commerce & Relations (EL-COR),26,93.51,92.66,93.27,92.22,92.66,90.10,91.32,93.09,91.78,92.66,90.86,93.51,92.3
2,Product Knowledge Ott Iflix Indihome,Commerce & Relations (EL-COR),78,94.27,94.29,94.62,94.90,94.35,92.70,92.15,94.35,93.21,94.48,92.74,94.35,93.87
2,Product Knowledge Panduan Pelanggan Self Service Troubleshooting Indihome,Commerce & Relations (EL-COR),10,98.33,98.33,98.33,97.45,98.33,98.33,99.18,98.33,98.33,97.45,99.18,97.45,98.25
2,Product Knowledge Usee TV Advertising,Commerce & Relations (EL-COR),22,95.05,95.76,94.85,94.85,95.05,95.51,95.05,94.79,95.51,94.58,94.58,95.76,95.11
2,Product Knowledge UseeTV GO,Commerce & Relations (EL-COR),74,95.20,95.21,95.28,95.35,94.50,92.57,92.69,94.77,93.42,94.78,92.69,95.35,94.32
2,Product Knowledge UseeTV.com,Commerce & Relations (EL-COR),38,92.00,92.36,92.00,92.31,92.00,90.07,90.40,92.31,90.07,92.13,89.86,92.00,91.46
2,Spiritual (Islam) Bekerja Lillah,Commerce & Relations (EL-COR),61,92.17,92.96,92.83,93.50,91.48,93.28,92.92,92.02,94.24,92.42,92.59,92.09,92.71
2,Big Data,Digital & ICT (EL-DIC),13,91.70,91.70,91.70,91.70,91.70,90.77,91.70,91.70,90.77,91.70,90.77,91.70,91.47
